num position 0
curr_date===== 2023-01-03 00:00:00
当前资产： 10000000.0 当前现金： 10000000.0
2023-01-04, 买单执行,2023-01-04 10:05:00, SZ000895, 25.64256529712677, 900, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SH601169, 4.309999942779541, 5000, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SH600383, 10.470000267028809, 2200, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SH600741, 16.850000381469727, 1300, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SZ000568, 221.072108052063, 100, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SH600104, 14.420000076293945, 1500, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SZ300498, 19.100000381469727, 1100, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SH601919, 10.211021038150788, 2100, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SZ002714, 47.27472745780945, 500, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SZ002050, 20.6820683052063, 1100, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:15:00, SH601021, 62.62626093177796, 400, 创建时间 2023-01-04 10:10:00
2023-01-04, 买单执行,2023-01-04 10:15:00, SZ002415, 34.05340423698425, 700, 创建时间 2023-01-04 10:10:00
2023-01-04, 买单执行,2023-01-04 10:15:00, SH600132, 124.14241025314331, 200, 创建时间 2023-01-04 10:10:00
2023-01-04, 买单执行,2023-01-04 10:15:00, SH601100, 63.13631406822205, 400, 创建时间 2023-01-04 10:10:00
2023-01-04, 买单执行,2023-01-04 10:15:00, SZ000596, 265.57654279174807, 100, 创建时间 2023-01-04 10:10:00
2023-01-04, 买单执行,2023-01-04 10:15:00, SH603833, 122.81228305206298, 200, 创建时间 2023-01-04 10:10:00
2023-01-04, 买单执行,2023-01-04 10:15:00, SZ002032, 50.165019662475586, 500, 创建时间 2023-01-04 10:10:00
2023-01-04, 买单执行,2023-01-04 10:15:00, SH601689, 57.29572610054016, 400, 创建时间 2023-01-04 10:10:00
2023-01-04, 买单执行,2023-01-04 10:15:00, SH688065, 62.089996337890625, 400, 创建时间 2023-01-04 10:10:00
2023-01-04, 买单执行,2023-01-04 10:15:00, SH603369, 50.3950383895874, 500, 创建时间 2023-01-04 10:10:00
2023-01-04, 买单执行,2023-01-04 10:15:00, SH688363, 129.8529803375244, 200, 创建时间 2023-01-04 10:10:00
2023-01-04, 买单执行,2023-01-04 10:20:00, SZ002304, 158.465841947937, 200, 创建时间 2023-01-04 10:15:00
2023-01-04, 买单执行,2023-01-04 10:20:00, SH600436, 282.79998779296875, 100, 创建时间 2023-01-04 10:15:00
2023-01-04, 买单执行,2023-01-04 10:20:00, SH600763, 148.51485, 200, 创建时间 2023-01-04 10:15:00
2023-01-04, 买单执行,2023-01-04 10:20:00, SH600809, 277.0177197540283, 100, 创建时间 2023-01-04 10:15:00
2023-01-04, 买单执行,2023-01-04 10:20:00, SZ002756, 92.11921161041259, 300, 创建时间 2023-01-04 10:15:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SH601888, 214.93150992279053, 100, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SH601966, 20.062005465888976, 1100, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SH600009, 56.095609152603146, 400, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SH603899, 54.52000045776367, 400, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SZ000858, 178.867891104126, 200, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SH601816, 4.839999675750732, 4400, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SH601111, 10.59105915260315, 2100, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SH601628, 37.42374398384094, 600, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SH600887, 30.8700008392334, 700, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SZ000069, 5.620561885547638, 4000, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SH603288, 77.67000579833984, 300, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SH600600, 105.96059957809447, 200, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SZ002475, 29.420000076293945, 700, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SZ300347, 104.45043881149292, 200, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SH600000, 7.320000171661377, 3000, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SH600406, 24.71247199192047, 900, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SZ000786, 26.522652457809446, 900, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SH600029, 7.590759152603149, 2800, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SH601225, 18.46184699192047, 1200, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SH600941, 71.8671866104126, 300, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SH600115, 5.410540847396851, 3900, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SH601398, 4.359999656677246, 4900, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SZ000895, 25.712570084381102, 900, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SH601169, 4.320000171661377, 5000, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SH600383, 10.611060656642914, 2200, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SH600741, 16.791679915618897, 1300, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SZ000568, 222.78227050628664, 100, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SH600104, 14.420000076293945, 1500, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SZ300661, 168.42682940216065, 200, 创建时间 2023-01-04 10:30:00
2023-01-04, 买单执行,2023-01-04 10:35:00, SH605499, 172.36722584381104, 200, 创建时间 2023-01-04 10:30:00
