curr_date===== 2023-01-03 00:00:00
当前资产： 10000000.0 当前现金： 10000000.0
2023-01-04, 买单执行,2023-01-04 10:00:00, SH600887, 30.62306283931732, 800, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SZ000069, 5.460546038150787, 4300, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH603288, 77.6477633895874, 300, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH601689, 57.27572364273071, 400, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH600600, 106.45065407180786, 200, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SZ002756, 92.0392017791748, 300, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH688065, 62.3662366104126, 400, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH603369, 49.8649866104126, 500, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SZ002475, 29.382939068222047, 700, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SZ300347, 105.2905267791748, 200, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH600000, 7.2900004386901855, 3100, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH600406, 24.84248606014252, 900, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SZ000786, 26.0026, 900, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH600029, 7.47074726705551, 3000, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH601225, 18.601860381507873, 1200, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH600941, 72.53725940933228, 300, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH600115, 5.370536885547638, 4200, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH601398, 4.3304324468135835, 5200, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SZ000895, 25.69999885559082, 900, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH601169, 4.300430190753937, 5300, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH600383, 10.40104057226181, 2300, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH600741, 16.90999984741211, 1300, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SZ000568, 220.2020259353638, 100, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH600104, 14.41144084739685, 1600, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SZ300661, 169.07688829803467, 200, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH605499, 172.37722135009764, 200, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH688363, 129.81298305206298, 200, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SZ300498, 19.1200008392334, 1200, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH601919, 10.211021038150788, 2200, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SZ002714, 47.26472432136536, 500, 创建时间 2023-01-04 09:55:00
